"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag54and54Footnotes"
"2001","France","Number","Males","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","277858",""
"2001","France","Number","Males","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","5347",""
"2001","France","Number","Males","Total","Tuberculosis","545",""
"2001","France","Number","Males","Total","Meningococcal54infection","30",""
"2001","France","Number","Males","Total","Viral54hepatitis","471",""
"2001","France","Number","Males","Total","Human54immunodeficiency54virus54[HIV]54disease","892",""
"2001","France","Number","Males","Total","Neoplasms","91737",""
"2001","France","Number","Males","Total","Malignant54neoplasms54(C00-C97)","88481",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54lip,54oral54cavity,54pharynx","3755",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54oesophagus","3442",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54stomach","3213",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54colon","6274",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54rectosigmoid54junction,54rectum,54anus54and54anal54canal","2242",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54liver54and54intrahepatic54bile54ducts","5258",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54pancreas","3788",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54larynx,5454trachea,54bronchus54and54lung","22457",""
"2001","France","Number","Males","Total","Malignant54melanoma54of54skin","761",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54breast","177",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54cervix54uteri",":",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54other54parts54of54uterus",":",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54ovary",":",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54prostate","9327",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54kidney,54except54renal54pelvis","1937",""
"2001","France","Number","Males","Total","Malignant54neoplasm54of54bladder","3231",""
"2001","France","Number","Males","Total","Malignant54neoplasms,54stated54or54presumed54to54be54primary,54of54lymphoid,54haematopoietic54and54related54tissue","6863",""
"2001","France","Number","Males","Total","Diseases54of54the54blood54and54blood-forming54organs54and54certain54disorders54involving54the54immune54mechanism","1000",""
"2001","France","Number","Males","Total","Endocrine,54nutritional54and54metabolic54diseases54(E00-E90)","8356",""
"2001","France","Number","Males","Total","Diabetes54mellitus","5318",""
"2001","France","Number","Males","Total","Mental54and54behavioural54disorders54(F00-F99)","7468",""
"2001","France","Number","Males","Total","Mental54and54behavioural54disorders54due54to54use54of54alcohol","2523",""
"2001","France","Number","Males","Total","Drug54dependence,54toxicomania54(F11-F16,54F18-F19)","127",""
"2001","France","Number","Males","Total","Diseases54of54the54nervous54system54and54the54sense54organs54(G00-H95)","9497",""
"2001","France","Number","Males","Total","Meningitis","80",""
"2001","France","Number","Males","Total","Diseases54of54the54circulatory54system54(I00-I99)","75350",""
"2001","France","Number","Males","Total","Ischaemic54heart54diseases","24913",""
"2001","France","Number","Males","Total","Other54heart54diseases54(I30-I33,54I39-I52)","19513",""
"2001","France","Number","Males","Total","Cerebrovascular54diseases","16223",""
"2001","France","Number","Males","Total","Diseases54of54the54respiratory54system54(J00-J99)","17292",""
"2001","France","Number","Males","Total","Influenza","76",""
"2001","France","Number","Males","Total","Pneumonia","4947",""
"2001","France","Number","Males","Total","Chronic54lower54respiratory54diseases","5566",""
"2001","France","Number","Males","Total","Asthma54and54status54asthmaticus","647",""
"2001","France","Number","Males","Total","Diseases54of54the54digestive54system54(K00-K93)","13226",""
"2001","France","Number","Males","Total","Ulcer54of54stomach,54duodenum54and54jejunum","486",""
"2001","France","Number","Males","Total","Chronic54liver54disease","6174",""
"2001","France","Number","Males","Total","Diseases54of54the54skin54and54subcutaneous54tissue54(L00-L99)","628",""
"2001","France","Number","Males","Total","Diseases54of54the54musculoskeletal54system54and54connective54tissue54(M00-M99)","1387",""
"2001","France","Number","Males","Total","Rheumatoid54arthritis54and54arthrosis54(M05-M06,M15-M19)","164",""
"2001","France","Number","Males","Total","Diseases54of54the54genitourinary54system5454(N00-N99)","3698",""
"2001","France","Number","Males","Total","Diseases54of54kidney54and54ureter","2809",""
"2001","France","Number","Males","Total","Pregnancy,54childbirth54and54the54puerperium54(O00-O99)",":",""
"2001","France","Number","Males","Total","Certain54conditions54originating54in54the54perinatal54period54(P00-P96)","1006",""
"2001","France","Number","Males","Total","Congenital54malformations,54deformations54and54chromosomal54abnormalities54(Q00-Q99)","892",""
"2001","France","Number","Males","Total","Congenital54malformations54of54the54nervous54system","88",""
"2001","France","Number","Males","Total","Congenital54malformations54of54the54circulatory54system","329",""
"2001","France","Number","Males","Total","Symptoms,54signs54and54abnormal54clinical54and54laboratory54findings,54not54elsewhere54classified54(R00-R99)","15872",""
"2001","France","Number","Males","Total","Sudden54infant54death54syndrome","229",""
"2001","France","Number","Males","Total","Ill-defined54and54unknown54causes54of54mortality","7726",""
"2001","France","Number","Males","Total","External54causes54of54morbidity54and54mortality54(V01-Y89)","25102",""
"2001","France","Number","Males","Total","Accidents","15867",""
"2001","France","Number","Males","Total","Transport54accidents54(V01-V99)","5840",""
"2001","France","Number","Males","Total","Falls","2546",""
"2001","France","Number","Males","Total","Accidental54poisoning54by54and54exposure54to54noxious54substances","459",""
"2001","France","Number","Males","Total","Intentional54self-harm","7798",""
"2001","France","Number","Males","Total","Assault","324",""
"2001","France","Number","Males","Total","Event54of54undetermined54intent","553",""
"2001","France","Number","Females","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","263325",""
"2001","France","Number","Females","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","5157",""
"2001","France","Number","Females","Total","Tuberculosis","516",""
"2001","France","Number","Females","Total","Meningococcal54infection","15",""
"2001","France","Number","Females","Total","Viral54hepatitis","439",""
"2001","France","Number","Females","Total","Human54immunodeficiency54virus54[HIV]54disease","248",""
"2001","France","Number","Females","Total","Neoplasms","61421",""
"2001","France","Number","Females","Total","Malignant54neoplasms54(C00-C97)","58262",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54lip,54oral54cavity,54pharynx","738",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54oesophagus","699",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54stomach","254020",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54colon","554786",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54rectosigmoid54junction,54rectum,54anus54and54anal54canal","1780",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54liver54and54intrahepatic54bile54ducts","1705",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54pancreas","354554",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54larynx,5454trachea,54bronchus54and54lung","454624",""
"2001","France","Number","Females","Total","Malignant54melanoma54of54skin","631",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54breast","11088",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54cervix54uteri","793",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54other54parts54of54uterus","2192",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54ovary","3260",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54prostate",":",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54kidney,54except54renal54pelvis","1125",""
"2001","France","Number","Females","Total","Malignant54neoplasm54of54bladder","1029",""
"2001","France","Number","Females","Total","Malignant54neoplasms,54stated54or54presumed54to54be54primary,54of54lymphoid,54haematopoietic54and54related54tissue","554976",""
"2001","France","Number","Females","Total","Diseases54of54the54blood54and54blood-forming54organs54and54certain54disorders54involving54the54immune54mechanism","1292",""
"2001","France","Number","Females","Total","Endocrine,54nutritional54and54metabolic54diseases54(E00-E90)","1154668",""
"2001","France","Number","Females","Total","Diabetes54mellitus","6223",""
"2001","France","Number","Females","Total","Mental54and54behavioural54disorders54(F00-F99)","1054527",""
"2001","France","Number","Females","Total","Mental54and54behavioural54disorders54due54to54use54of54alcohol","589",""
"2001","France","Number","Females","Total","Drug54dependence,54toxicomania54(F11-F16,54F18-F19)","36",""
"2001","France","Number","Females","Total","Diseases54of54the54nervous54system54and54the54sense54organs54(G00-H95)","12230",""
"2001","France","Number","Females","Total","Meningitis","81",""
"2001","France","Number","Females","Total","Diseases54of54the54circulatory54system54(I00-I99)","87725",""
"2001","France","Number","Females","Total","Ischaemic54heart54diseases","2054125",""
"2001","France","Number","Females","Total","Other54heart54diseases54(I30-I33,54I39-I52)","26190",""
"2001","France","Number","Females","Total","Cerebrovascular54diseases","22599",""
"2001","France","Number","Females","Total","Diseases54of54the54respiratory54system54(J00-J99)","15332",""
"2001","France","Number","Females","Total","Influenza","100",""
"2001","France","Number","Females","Total","Pneumonia","554773",""
"2001","France","Number","Females","Total","Chronic54lower54respiratory54diseases","3291",""
"2001","France","Number","Females","Total","Asthma54and54status54asthmaticus","871",""
"2001","France","Number","Females","Total","Diseases54of54the54digestive54system54(K00-K93)","11428",""
"2001","France","Number","Females","Total","Ulcer54of54stomach,54duodenum54and54jejunum","517",""
"2001","France","Number","Females","Total","Chronic54liver54disease","254602",""
"2001","France","Number","Females","Total","Diseases54of54the54skin54and54subcutaneous54tissue54(L00-L99)","1587",""
"2001","France","Number","Females","Total","Diseases54of54the54musculoskeletal54system54and54connective54tissue54(M00-M99)","2518",""
"2001","France","Number","Females","Total","Rheumatoid54arthritis54and54arthrosis54(M05-M06,M15-M19)","575",""
"2001","France","Number","Females","Total","Diseases54of54the54genitourinary54system5454(N00-N99)","3994",""
"2001","France","Number","Females","Total","Diseases54of54kidney54and54ureter","3056",""
"2001","France","Number","Females","Total","Pregnancy,54childbirth54and54the54puerperium54(O00-O99)","61",""
"2001","France","Number","Females","Total","Certain54conditions54originating54in54the54perinatal54period54(P00-P96)","748",""
"2001","France","Number","Females","Total","Congenital54malformations,54deformations54and54chromosomal54abnormalities54(Q00-Q99)","798",""
"2001","France","Number","Females","Total","Congenital54malformations54of54the54nervous54system","92",""
"2001","France","Number","Females","Total","Congenital54malformations54of54the54circulatory54system","312",""
"2001","France","Number","Females","Total","Symptoms,54signs54and54abnormal54clinical54and54laboratory54findings,54not54elsewhere54classified54(R00-R99)","1954862",""
"2001","France","Number","Females","Total","Sudden54infant54death54syndrome","123",""
"2001","France","Number","Females","Total","Ill-defined54and54unknown54causes54of54mortality","6249",""
"2001","France","Number","Females","Total","External54causes54of54morbidity54and54mortality54(V01-Y89)","16977",""
"2001","France","Number","Females","Total","Accidents","1354165",""
"2001","France","Number","Females","Total","Transport54accidents54(V01-V99)","2125",""
"2001","France","Number","Females","Total","Falls","254791",""
"2001","France","Number","Females","Total","Accidental54poisoning54by54and54exposure54to54noxious54substances","496",""
"2001","France","Number","Females","Total","Intentional54self-harm","2827",""
"2001","France","Number","Females","Total","Assault","210",""
"2001","France","Number","Females","Total","Event54of54undetermined54intent","202",""
"2002","France","Number","Males","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","27854794",""
"2002","France","Number","Males","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","5468",""
"2002","France","Number","Males","Total","Tuberculosis","507",""
"2002","France","Number","Males","Total","Meningococcal54infection","21",""
"2002","France","Number","Males","Total","Viral54hepatitis","472",""
"2002","France","Number","Males","Total","Human54immunodeficiency54virus54[HIV]54disease","835",""
"2002","France","Number","Males","Total","Neoplasms","9254331",""
"2002","France","Number","Males","Total","Malignant54neoplasms54(C00-C97)","8954122",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54lip,54oral54cavity,54pharynx","354834",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54oesophagus","354509",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54stomach","3256",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54colon","6267",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54rectosigmoid54junction,54rectum,54anus54and54anal54canal","254365",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54liver54and54intrahepatic54bile54ducts","5231",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54pancreas","354875",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54larynx,5454trachea,54bronchus54and54lung","22533",""
"2002","France","Number","Males","Total","Malignant54melanoma54of54skin","733",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54breast","188",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54cervix54uteri",":",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54other54parts54of54uterus",":",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54ovary",":",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54prostate","9526",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54kidney,54except54renal54pelvis","1929",""
"2002","France","Number","Males","Total","Malignant54neoplasm54of54bladder","3306",""
"2002","France","Number","Males","Total","Malignant54neoplasms,54stated54or54presumed54to54be54primary,54of54lymphoid,54haematopoietic54and54related54tissue","654703",""
"2002","France","Number","Males","Total","Diseases54of54the54blood54and54blood-forming54organs54and54certain54disorders54involving54the54immune54mechanism","1023",""
"2002","France","Number","Males","Total","Endocrine,54nutritional54and54metabolic54diseases54(E00-E90)","8366",""
"2002","France","Number","Males","Total","Diabetes54mellitus","5195",""
"2002","France","Number","Males","Total","Mental54and54behavioural54disorders54(F00-F99)","7476",""
"2002","France","Number","Males","Total","Mental54and54behavioural54disorders54due54to54use54of54alcohol","2559",""
"2002","France","Number","Males","Total","Drug54dependence,54toxicomania54(F11-F16,54F18-F19)","121",""
"2002","France","Number","Males","Total","Diseases54of54the54nervous54system54and54the54sense54organs54(G00-H95)","954773",""
"2002","France","Number","Males","Total","Meningitis","96",""
"2002","France","Number","Males","Total","Diseases54of54the54circulatory54system54(I00-I99)","7454756",""
"2002","France","Number","Males","Total","Ischaemic54heart54diseases","2454569",""
"2002","France","Number","Males","Total","Other54heart54diseases54(I30-I33,54I39-I52)","1954657",""
"2002","France","Number","Males","Total","Cerebrovascular54diseases","1554948",""
"2002","France","Number","Males","Total","Diseases54of54the54respiratory54system54(J00-J99)","17849",""
"2002","France","Number","Males","Total","Influenza","219",""
"2002","France","Number","Males","Total","Pneumonia","5214",""
"2002","France","Number","Males","Total","Chronic54lower54respiratory54diseases","554656",""
"2002","France","Number","Males","Total","Asthma54and54status54asthmaticus","559",""
"2002","France","Number","Males","Total","Diseases54of54the54digestive54system54(K00-K93)","13000",""
"2002","France","Number","Males","Total","Ulcer54of54stomach,54duodenum54and54jejunum","493",""
"2002","France","Number","Males","Total","Chronic54liver54disease","654037",""
"2002","France","Number","Males","Total","Diseases54of54the54skin54and54subcutaneous54tissue54(L00-L99)","634",""
"2002","France","Number","Males","Total","Diseases54of54the54musculoskeletal54system54and54connective54tissue54(M00-M99)","1315",""
"2002","France","Number","Males","Total","Rheumatoid54arthritis54and54arthrosis54(M05-M06,M15-M19)","150",""
"2002","France","Number","Males","Total","Diseases54of54the54genitourinary54system5454(N00-N99)","3984",""
"2002","France","Number","Males","Total","Diseases54of54kidney54and54ureter","3099",""
"2002","France","Number","Males","Total","Pregnancy,54childbirth54and54the54puerperium54(O00-O99)",":",""
"2002","France","Number","Males","Total","Certain54conditions54originating54in54the54perinatal54period54(P00-P96)","947",""
"2002","France","Number","Males","Total","Congenital54malformations,54deformations54and54chromosomal54abnormalities54(Q00-Q99)","777",""
"2002","France","Number","Males","Total","Congenital54malformations54of54the54nervous54system","65",""
"2002","France","Number","Males","Total","Congenital54malformations54of54the54circulatory54system","321",""
"2002","France","Number","Males","Total","Symptoms,54signs54and54abnormal54clinical54and54laboratory54findings,54not54elsewhere54classified54(R00-R99)","1654071",""
"2002","France","Number","Males","Total","Sudden54infant54death54syndrome","183",""
"2002","France","Number","Males","Total","Ill-defined54and54unknown54causes54of54mortality","7475",""
"2002","France","Number","Males","Total","External54causes54of54morbidity54and54mortality54(V01-Y89)","2554024",""
"2002","France","Number","Males","Total","Accidents","15515",""
"2002","France","Number","Males","Total","Transport54accidents54(V01-V99)","554672",""
"2002","France","Number","Males","Total","Falls","254673",""
"2002","France","Number","Males","Total","Accidental54poisoning54by54and54exposure54to54noxious54substances","405",""
"2002","France","Number","Males","Total","Intentional54self-harm","7865",""
"2002","France","Number","Males","Total","Assault","325",""
"2002","France","Number","Males","Total","Event54of54undetermined54intent","594",""
"2002","France","Number","Females","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","26654555",""
"2002","France","Number","Females","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","5194",""
"2002","France","Number","Females","Total","Tuberculosis","462",""
"2002","France","Number","Females","Total","Meningococcal54infection","15",""
"2002","France","Number","Females","Total","Viral54hepatitis","405",""
"2002","France","Number","Females","Total","Human54immunodeficiency54virus54[HIV]54disease","257",""
"2002","France","Number","Females","Total","Neoplasms","62599",""
"2002","France","Number","Females","Total","Malignant54neoplasms54(C00-C97)","59385",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54lip,54oral54cavity,54pharynx","796",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54oesophagus","759",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54stomach","254031",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54colon","5867",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54rectosigmoid54junction,54rectum,54anus54and54anal54canal","1792",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54liver54and54intrahepatic54bile54ducts","1788",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54pancreas","3659",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54larynx,5454trachea,54bronchus54and54lung","554091",""
"2002","France","Number","Females","Total","Malignant54melanoma54of54skin","666",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54breast","11301",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54cervix54uteri","727",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54other54parts54of54uterus","2214",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54ovary","3334",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54prostate",":",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54kidney,54except54renal54pelvis","1143",""
"2002","France","Number","Females","Total","Malignant54neoplasm54of54bladder","1019",""
"2002","France","Number","Females","Total","Malignant54neoplasms,54stated54or54presumed54to54be54primary,54of54lymphoid,54haematopoietic54and54related54tissue","654024",""
"2002","France","Number","Females","Total","Diseases54of54the54blood54and54blood-forming54organs54and54certain54disorders54involving54the54immune54mechanism","1229",""
"2002","France","Number","Females","Total","Endocrine,54nutritional54and54metabolic54diseases54(E00-E90)","1254047",""
"2002","France","Number","Females","Total","Diabetes54mellitus","654517",""
"2002","France","Number","Females","Total","Mental54and54behavioural54disorders54(F00-F99)","1054733",""
"2002","France","Number","Females","Total","Mental54and54behavioural54disorders54due54to54use54of54alcohol","625",""
"2002","France","Number","Females","Total","Drug54dependence,54toxicomania54(F11-F16,54F18-F19)","25",""
"2002","France","Number","Females","Total","Diseases54of54the54nervous54system54and54the54sense54organs54(G00-H95)","13225",""
"2002","France","Number","Females","Total","Meningitis","92",""
"2002","France","Number","Females","Total","Diseases54of54the54circulatory54system54(I00-I99)","8654365",""
"2002","France","Number","Females","Total","Ischaemic54heart54diseases","19549",""
"2002","France","Number","Females","Total","Other54heart54diseases54(I30-I33,54I39-I52)","2654604",""
"2002","France","Number","Females","Total","Cerebrovascular54diseases","2154835",""
"2002","France","Number","Females","Total","Diseases54of54the54respiratory54system54(J00-J99)","1654378",""
"2002","France","Number","Females","Total","Influenza","337",""
"2002","France","Number","Females","Total","Pneumonia","654097",""
"2002","France","Number","Females","Total","Chronic54lower54respiratory54diseases","3390",""
"2002","France","Number","Females","Total","Asthma54and54status54asthmaticus","872",""
"2002","France","Number","Females","Total","Diseases54of54the54digestive54system54(K00-K93)","11529",""
"2002","France","Number","Females","Total","Ulcer54of54stomach,54duodenum54and54jejunum","446",""
"2002","France","Number","Females","Total","Chronic54liver54disease","254600",""
"2002","France","Number","Females","Total","Diseases54of54the54skin54and54subcutaneous54tissue54(L00-L99)","1585",""
"2002","France","Number","Females","Total","Diseases54of54the54musculoskeletal54system54and54connective54tissue54(M00-M99)","254630",""
"2002","France","Number","Females","Total","Rheumatoid54arthritis54and54arthrosis54(M05-M06,M15-M19)","583",""
"2002","France","Number","Females","Total","Diseases54of54the54genitourinary54system5454(N00-N99)","454191",""
"2002","France","Number","Females","Total","Diseases54of54kidney54and54ureter","3251",""
"2002","France","Number","Females","Total","Pregnancy,54childbirth54and54the54puerperium54(O00-O99)","81",""
"2002","France","Number","Females","Total","Certain54conditions54originating54in54the54perinatal54period54(P00-P96)","698",""
"2002","France","Number","Females","Total","Congenital54malformations,54deformations54and54chromosomal54abnormalities54(Q00-Q99)","703",""
"2002","France","Number","Females","Total","Congenital54malformations54of54the54nervous54system","54",""
"2002","France","Number","Females","Total","Congenital54malformations54of54the54circulatory54system","286",""
"2002","France","Number","Females","Total","Symptoms,54signs54and54abnormal54clinical54and54laboratory54findings,54not54elsewhere54classified54(R00-R99)","2054475",""
"2002","France","Number","Females","Total","Sudden54infant54death54syndrome","115",""
"2002","France","Number","Females","Total","Ill-defined54and54unknown54causes54of54mortality","554982",""
"2002","France","Number","Females","Total","External54causes54of54morbidity54and54mortality54(V01-Y89)","16893",""
"2002","France","Number","Females","Total","Accidents","1254693",""
"2002","France","Number","Females","Total","Transport54accidents54(V01-V99)","1930",""
